"","X","X.2","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","muEst","mu0","mu0.01","mu0.1","mu0.25","mu0.5","mu1","mu5","growth"
"1",1,1,1,"TU","5/28/13","12:00","Day","PML",0,0,0.897777777777778,0.00179064007831311,0.00178077749057683,0.00755183168316832,0.00410122268008956,0.5,8.89,16.4,194.14,0.403333333,0.001155549999045,93933.3333333333,5733.33333333333,133.333333333333,3466.66666666667,0,10483.56,0.419564395504901,1.37358539600326e-05,0,0.000118868538543417,0.00118868538543417,0.00297171346358542,0.00594342692717083,0.0118868538543417,0.0594342692717083,0.0344401359280074
"2",2,2,2,"TU","5/28/13","12:00","Day","Hypo",0,0,1.03357142857143,0,0,0.00925033724948169,0.000932473604356677,7.5,0.16,4.1,0,0.403333333,0.001155549999045,93933.3333333333,88200,0,80666.6666666667,133.333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0174464628036598
"3",3,3,3,"DW","5/28/13","23:00","Night","PML",21,1400,0.5465,0.00157971307500425,0.00140826445278943,0.00641224885635865,0.00532277873127123,0.75,8.8,16.7,0,2.144472789,0.006143914540485,207866.666666667,73000,10933.3333333333,33533.3333333333,26533.3333333333,0,0,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0207043477323665
"4",4,4,4,"DW","5/28/13","23:00","Night","Hypo",68,4533.33333333333,1.0415,0,0.000534557241133903,0.00699219461697723,0.00488128993817289,4,5.66,6.3,0,2.144472789,0.006143914540485,207866.666666667,134866.666666667,15333.3333333333,92600,24266.6666666667,0,0,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.0333085613573907
"5",5,5,5,"DW","5/29/13","11:30","Day","PML",0,0,0.5465,0.00157971307500425,0.00140826445278943,0.00641224885635865,0.00532277873127123,0.75,8.8,16.7,129.7,2.144472789,0.006143914540485,281333.333333333,76133.3333333333,10666.6666666667,27333.3333333333,37133.3333333333,7003.8,0.41910104876334,2.43304910190926e-05,0,3.96009593863458e-05,0.000396009593863458,0.000990023984658645,0.00198004796931729,0.00396009593863458,0.0198004796931729,0.0207043477323665
"6",6,6,6,"DW","5/29/13","11:30","Day","Hypo",10,666.666666666667,1.0415,0,0.000534557241133903,0.00699219461697723,0.00488128993817289,4,5.66,6.3,0.1125,2.144472789,0.006143914540485,281333.333333333,205200,22266.6666666667,168400,10866.6666666667,6.075,0.38133248720202,0.0166234547602168,0.0166033119068811,0.0166360969549201,0.0169311623872716,0.0174229381078575,0.0182425643088339,0.0198818167107868,0.0329958359264097,0.0333085613573907
"7",7,7,7,"CB","5/29/13","23:00","Night","PML",92,6133.33333333333,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,0,0,0,126066.666666667,93600,6733.33333333333,86200,666.666666666667,0,0,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.0219518035955637
"8",8,8,8,"CB","5/29/13","23:00","Night","Hypo",18,1200,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,126066.666666667,32466.6666666667,3400,25933.3333333333,2666.66666666667,0,0,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.0480550531405811
"9",9,9,9,"CB","5/28/13","11:00","Day","PML",3,200,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,378.466,0,0,91333.3333333333,41733.3333333333,4466.66666666667,36466.6666666667,800,20437.164,0.420250363036202,0.0248306246726789,0.0248306246726789,0.0249532771404215,0.0260571493501057,0.0278969363662459,0.0309632480598129,0.0370958714469469,0.0861568585440191,0.0219518035955637
"10",10,10,10,"CB","5/28/13","11:00","Day","Hypo",35,2333.33333333333,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,91333.3333333333,49600,3733.33333333333,43000,2466.66666666667,0,0,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.0480550531405811
"11",11,11,11,"RE","5/31/13","11:30","Day","PML",15,1000,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,69.985,0,0,146733.333333333,0,0,0,0,3779.19,0.418306951953,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.0565390583204635
"12",12,12,12,"RE","5/31/13","11:30","Day","Hypo",1,66.6666666666667,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,146733.333333333,146733.333333333,3600,106466.666666667,800,0,0,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.0173625687967739
"13",13,13,13,"RE","5/30/13","23:00","Night","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,5.49,21.5,0,0,0,302666.666666667,197133.333333333,2933.33333333333,128933.333333333,1666.66666666667,0,0,0,0,0,0,0,0,0,0,0.0562924874872053
"14",14,14,14,"RE","5/30/13","23:00","Night","Hypo",5,333.333333333333,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,302666.666666667,105533.333333333,2466.66666666667,78000,66.6666666666667,0,0,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0173625687967739
"15",15,15,15,"BA","6/2/13","23:30","Night","PML",37,2466.66666666667,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,1,8.54,17.2,0,0.769349299,0.002204185741635,227266.666666667,130800,10133.3333333333,101466.666666667,17266.6666666667,0,0,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,-0.0035653745626274
"16",16,16,16,"BA","6/2/13","23:30","Night","Hypo",27,1800,0.832,0.00207114769415166,0.00177004522066865,0.00587986595174263,0.00276042295595162,6,3.9,5.5,0,0.769349299,0.002204185741635,227266.666666667,96466.6666666667,9466.66666666667,71133.3333333333,12666.6666666667,0,0,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.0124339286934634
"17",17,17,17,"BA","6/3/13","12:00","Day","PML",0,0,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,1,8.8,16.6,1371.5,0.769349299,0.002204185741635,261933.333333333,136066.666666667,12266.6666666667,87933.3333333333,33133.3333333333,74061,0.421347373987518,9.47605136531762e-06,0,4.29911653374936e-05,0.000429911653374936,0.00107477913343734,0.00214955826687468,0.00429911653374936,0.0214955826687468,-0.00353337378790308
"18",18,18,18,"BA","6/3/13","12:00","Day","Hypo",0,0,0.832,0.00207114769415166,0.00177004522066865,0.00587986595174263,0.00276042295595162,6,3.66,5.4,10.61,0.769349299,0.002204185741635,261933.333333333,125866.666666667,4200,107733.333333333,12466.6666666667,572.94,0.414955088193739,9.19070891775876e-06,0,4.16966172321819e-05,0.000416966172321819,0.00104241543080455,0.00208483086160909,0.00416966172321819,0.0208483086160909,0.0124154079561791
"19",19,19,19,"BA","6/6/13","12:00","Day","PML",0,0,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,1,8.8,16.6,1371.5,0.769349299,0.002204185741635,261933.333333333,136066.666666667,12266.6666666667,87933.3333333333,33133.3333333333,74061,0.421347373987518,9.47605136531762e-06,0,4.29911653374936e-05,0.000429911653374936,0.00107477913343734,0.00214955826687468,0.00429911653374936,0.0214955826687468,-0.00353337378790308
"20",20,20,20,"BA","6/6/13","12:00","Day","Hypo",0,0,0.832,0.00207114769415166,0.00177004522066865,0.00587986595174263,0.00276042295595162,6,3.66,5.4,10.61,0.769349299,0.002204185741635,261933.333333333,125866.666666667,4200,107733.333333333,12466.6666666667,572.94,0.414955088193739,9.19070891775876e-06,0,4.16966172321819e-05,0.000416966172321819,0.00104241543080455,0.00208483086160909,0.00416966172321819,0.0208483086160909,0.0124154079561791
"21",21,21,21,"BR","6/3/13","23:30","Night","PML",132,8800,1.1395,0.00112620452594477,0,0.0103021184730145,0.0017055863242452,1,8.34,17.7,0,0.823009699,0.002357922787635,298800,254866.666666667,107933.333333333,145466.666666667,1066.66666666667,0,0,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0212140798748995
"22",22,22,22,"BR","6/3/13","23:30","Night","Hypo",39,2600,2.606,0,0,0.0238414351496546,0.000391375661280153,3,2.11,13.3,0,0.823009699,0.002357922787635,298800,43933.3333333333,18800,24666.6666666667,466.666666666667,0,0,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.0189773803242649
"23",23,23,23,"BR","6/4/13","12:00","Day","PML",5,333.333333333333,1.1395,0.00112620452594477,0,0.0103021184730145,0.0017055863242452,1,8.65,16.8,193.01,0.823009699,0.002357922787635,134800,108600,23533.3333333333,84666.6666666667,0,10422.54,0.419557970865211,0.00787435509888711,0.00785482461317037,0.00793765381274871,0.00868311660895378,0.00992555460262889,0.0119962845920874,0.0161377445710044,0.0492694244023407,0.0209326127011934
"24",24,24,24,"BR","6/4/13","12:00","Day","Hypo",1,66.6666666666667,2.606,0,0,0.0238414351496546,0.000391375661280153,3,2.46,13.1,0,0.823009699,0.002357922787635,134800,26200,2066.66666666667,24000,0,0,0,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0189210747272409
"25",25,25,25,"WL","6/24/13","23:30","Night","PML",9,600,0.604,0.00146898454391378,0,0.00495658112582782,0.00219813054798005,0.5,6.41,25.3,0,0.403333333,0.001155549999045,94933.3333333333,63600,38400,22600,2533.33333333333,0,0,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00254473144899836
"26",26,26,26,"WL","6/24/13","23:30","Night","Hypo",0,0,NA,NA,NA,NA,NA,4,5.96,7.5,0,0.403333333,0.001155549999045,94933.3333333333,31333.3333333333,20133.3333333333,5533.33333333333,3400,0,0,0,0,0,0,0,0,0,0,NA
"27",27,27,27,"WL","6/4/13","23:30","Night","PML",21,1400,0.604,0,0,0.00495658112582782,0.00184373813259584,1,8.18,17.1,0,0.403333333,0.001155549999045,94933.3333333333,63600,38400,22600,2533.33333333333,0,0,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.0202179912699416,0.00264835535118035
"28",28,28,28,"WL","6/4/13","23:30","Night","Hypo",14,933.333333333333,NA,NA,NA,NA,NA,4,7.44,6.5,0,0.403333333,0.001155549999045,94933.3333333333,31333.3333333333,20133.3333333333,5533.33333333333,3400,0,0,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,0.0257076445286676,NA
"29",29,29,29,"WL","6/5/13","12:00","Day","PML",12,800,0.604,0,0,0.00495658112582782,0.00184373813259584,1,8.14,16.3,35.1066666666667,0.403333333,0.001155549999045,83533.3333333333,68266.6666666667,48733.3333333333,7066.66666666667,12400,1895.76,0.417269757863686,0.00911870760766404,0.00910343011255532,0.00923563984057523,0.0104255273927544,0.0124086733130531,0.0157139165135509,0.0223244029145465,0.0752082941225112,0.00261680637733197
"30",30,30,30,"WL","6/5/13","12:00","Day","Hypo",13,866.666666666667,NA,NA,NA,NA,NA,4,7.8,6.8,0.68,0.403333333,0.001155549999045,83533.3333333333,15266.6666666667,8933.33333333333,4133.33333333333,1733.33333333333,36.72,0.40417266443889,0.0538140202894071,0.0537996867908043,0.0539237272790105,0.0550400916728664,0.0569006989959596,0.0600017112011149,0.0662037356114255,0.11581993089391,NA
"31",31,31,31,"RB","6/6/13","12:00","Day","PML",0,0,1.15285714285714,0,0,0.00474903345724907,0.000566717589753071,1,8.7,15.4,214,0.769349299,0.002204185741635,268866.666666667,108666.666666667,2866.66666666667,59466.6666666667,40066.6666666667,11556,0.419670432837131,9.15835292609646e-06,0,4.1549823833372e-05,0.00041549823833372,0.0010387455958343,0.0020774911916686,0.0041549823833372,0.020774911916686,0.00223740997467148
"32",32,32,32,"RB","6/6/13","12:00","Day","Hypo",0,0,1.34833333333333,NA,NA,0.00431041409147095,NA,4.5,3.26,6.6,0.493333333333333,0.769349299,0.002204185741635,268866.666666667,160200,5733.33333333333,85933.3333333333,26466.6666666667,26.64,0.401813152781354,8.39554564530247e-06,0,3.80891024141863e-05,0.000380891024141863,0.000952227560354657,0.00190445512070931,0.00380891024141863,0.0190445512070931,NA
"33",33,35,35,"BA","5/19/13","23:00","Night","PML",57,3800,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,0.75,9.35,16.4,0,0.769349299,0.002204185741635,94000,45266.6666666667,2400,38933.3333333333,3333.33333333333,0,0,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,0.878038478008894,-0.0035227709297978
"34",34,36,36,"BA","5/19/13","23:00","Night","Hypo",18,1200,0.832,0,0,0.00587986595174263,0.000638387104693775,6,6.02,5.2,0,0.769349299,0.002204185741635,94000,48733.3333333333,3400,43133.3333333333,1533.33333333333,0,0,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.0179797640673427
"35",35,37,37,"RB","6/6/13","23:30","Night","PML",66,4400,1.15285714285714,0,0,0.00474903345724907,0.000566717589753071,1,8.7,15.4,0,0.769349299,0.002204185741635,245533.333333333,166533.333333333,2666.66666666667,72866.6666666667,64066.6666666667,0,0,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.915008519188215,0.00223740997467148
"36",36,38,38,"RB","6/6/13","23:30","Night","Hypo",50,3333.33333333333,1.34833333333333,NA,NA,0.00431041409147095,NA,4.5,3.26,6.6,0,0.769349299,0.002204185741635,245533.333333333,79000,3400,47200,11466.6666666667,0,0,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,NA
"37",37,39,39,"HB","6/6/13","23:00","Night","PML",55,3666.66666666667,2.01888888888889,0.000657318397006981,0,0.00690649697303247,0.00144772980758794,0.375,7.84,14.6,0,1.57274487,0.00450591405255,74266.6666666667,49866.6666666667,10666.6666666667,36800,1000,0,0,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.0205505000829925
"38",38,40,40,"HB","6/6/13","23:00","Night","Hypo",12,800,1.8525,0,0,0.00357412955465587,0.000393692131120652,3,0.15,5.1,0,1.57274487,0.00450591405255,74266.6666666667,24400,2400,21533.3333333333,466.666666666667,0,0,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,-0.0168818519843037
"39",39,41,41,"HB","6/7/13","11:00","Day","PML",0,0,2.01888888888889,0.000657318397006981,0,0.00690649697303247,0.00144772980758794,0.375,5.73461538461538,0,126.63,1.57274487,0.00450591405255,66266.6666666667,48733.3333333333,11933.3333333333,36066.6666666667,666.666666666667,6838.02,0.419072233561253,7.57451719561448e-05,0,0.000168101679421246,0.00168101679421246,0.00420254198553115,0.0084050839710623,0.0168101679421246,0.084050839710623,0.0165423023147918
"40",40,42,42,"HB","6/7/13","11:00","Day","Hypo",0,0,1.8525,0,0,0.00357412955465587,0.000393692131120652,3,0.44,5.1,0,1.57274487,0.00450591405255,66266.6666666667,17533.3333333333,2400,14733.3333333333,266.666666666667,0,0,0,0,0,0,0,0,0,0,-0.0168818519843037
"41",41,43,43,"TU","6/9/13","23:30","Night","PML",13,866.666666666667,0.897777777777778,0.00192435734243253,0,0.00755183168316832,0.00597020595646141,0.25,8.02333333333333,0,0,0.403333333,0.001155549999045,123600,8733.33333333333,0,6666.66666666667,66.6666666666667,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.016494774791659
"42",42,44,44,"TU","6/9/13","23:30","Night","Hypo",60,4000,1.03357142857143,0,0,0.00925033724948169,0.00168132954385956,6.5,0.15,4.1,0,0.403333333,0.001155549999045,123600,114866.666666667,266.666666666667,112333.333333333,133.333333333333,0,0,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,0.0174464628036598
"43",43,45,45,"TU","6/10/13","13:30","Day","PML",0,0,0.897777777777778,0.00192435734243253,0,0.00755183168316832,0.00597020595646141,0.25,8.02333333333333,0,337.5,0.403333333,0.001155549999045,124666.666666667,6266.66666666667,0,5600,66.6666666666667,18225,0.420139124426422,NA,NA,NA,NA,NA,NA,NA,NA,0.016494774791659
"44",44,46,46,"TU","6/10/13","13:30","Day","Hypo",0,0,1.03357142857143,0,0,0.00925033724948169,0.00168132954385956,6.5,0.12,4.1,0,0.403333333,0.001155549999045,124666.666666667,118400,333.333333333333,111133.333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0.0174464628036598
"45",45,47,47,"DW","6/10/13","23:00","Night","PML",11,733.333333333333,0.5465,0,0,0.00641224885635865,0,0.5,7.98,19.7,0,2.144472789,0.006143914540485,172200,44200,18600,22133.3333333333,2733.33333333333,0,0,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.0222672044468228
"46",46,48,48,"DW","6/10/13","23:00","Night","Hypo",37,2466.66666666667,0.7245,0.00145040862414611,0,0.00699219461697723,0,5,4.39,5.5,0,2.144472789,0.006143914540485,172200,128000,69933.3333333333,37400,20466.6666666667,0,0,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0179622010289882
"47",47,49,49,"DW","6/11/13","11:00","Day","PML",0,0,0.5465,0,0,0.00641224885635865,0,0.5,8.5,20.3,323,2.144472789,0.006143914540485,150733.333333333,52800,40066.6666666667,7000,5600,17442,0.420095808728981,4.5627005214891e-05,0,7.42637367662493e-05,0.000742637367662493,0.00185659341915623,0.00371318683831247,0.00742637367662493,0.0371318683831247,0.0222672044468228
"48",48,50,50,"DW","6/11/13","11:00","Day","Hypo",0,0,0.7245,0.00145040862414611,0,0.00699219461697723,0,5,5,5.8,0.1125,2.144472789,0.006143914540485,150733.333333333,97933.3333333333,54066.6666666667,27200,16000,6.075,0.38133248720202,3.75952415200947e-05,0,6.11910228769668e-05,0.000611910228769668,0.00152977557192417,0.00305955114384834,0.00611910228769668,0.0305955114384834,0.0180424778195486
"49",49,51,51,"CB","6/12/13","11:30","Day","PML",0,0,0.847,0,0,0.00830107792207792,0.000936006917420366,0.25,6.8025,0,1800.5,0,0,339200,161800,12266.6666666667,134800,1533.33333333333,97227,0.421548388136639,0,0,3.32298534976297e-05,0.000332298534976297,0.000830746337440743,0.00166149267488149,0.00332298534976297,0.0166149267488149,0.0164812898238256
"50",50,52,52,"CB","6/12/13","11:30","Day","Hypo",11,733.333333333333,1.078,0.000792264948054935,0,0.00842641649048626,0.00154190450117747,4,0.23,5,0,0,0,339200,177400,7200,169066.666666667,1133.33333333333,0,0,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0177172735167912
"51",51,53,53,"CB","6/12/12","11:30","Day","PML",0,0,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,378.466,0,0,91333.3333333333,41733.3333333333,4466.66666666667,36466.6666666667,800,20437.164,0.420250363036202,0,0,0.000122652467742681,0.00122652467742681,0.00306631169356701,0.00613262338713403,0.0122652467742681,0.0613262338713403,0.0219518035955637
"52",52,54,54,"CB","6/12/12","11:30","Day","Hypo",0,0,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,91333.3333333333,49600,3733.33333333333,43000,2466.66666666667,0,0,0,0,0,0,0,0,0,0,0.0480550531405811
"53",53,55,55,"CB","6/11/13","23:00","Night","PML",29,1933.33333333333,0.847,0,0,0.00830107792207792,0.000936006917420366,0.25,6.8025,0,0,0,0,183800,139133.333333333,19733.3333333333,118400,933.333333333333,0,0,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.0164812898238256
"54",54,56,56,"CB","6/11/13","23:00","Night","Hypo",19,1266.66666666667,1.078,0.000792264948054935,0,0.00842641649048626,0.00154190450117747,4,0.14,5,0,0,0,183800,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0177172735167912
"55",55,57,57,"RE","6/13/13","0:00","Night","PML",2,133.333333333333,1.09,0.000842051422406147,0,0.00842238532110092,0.00239014495026903,0.25,4.85,0,0,0,0,142066.666666667,47000,7533.33333333333,28466.6666666667,0,0,0,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.0164464619775835
"56",56,58,58,"RE","6/13/13","0:00","Night","Hypo",0,0,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.08,4,0,0,0,142066.666666667,95066.6666666667,7600,48600,333.333333333333,0,0,0,0,0,0,0,0,0,0,0.0173625687967739
"57",57,59,59,"BA","5/20/13","11:00","Day","PML",0,0,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,0.75,9.66,16.4,150.5,0.769349299,0.002204185741635,173933.333333333,82866.6666666667,2866.66666666667,70866.6666666667,7866.66666666667,8127,0.419276621483524,1.41304524223887e-05,0,6.4107357903092e-05,0.00064107357903092,0.0016026839475773,0.0032053678951546,0.0064107357903092,0.032053678951546,-0.0035227709297978
"58",58,60,60,"BA","5/20/13","11:00","Day","Hypo",1,66.6666666666667,0.832,0,0,0.00587986595174263,0.000638387104693775,6,6.92,5.5,3.24571428571429,0.769349299,0.002204185741635,173933.333333333,91066.6666666667,4800,70000,13933.3333333333,175.268571428572,0.411652973609089,0.0077157131724797,0.00770209191235873,0.00776388915504875,0.008320064339259,0.00924702297960942,0.0107919540468601,0.0138818161813615,0.0386007132573725,0.0180601186267894
"59",59,61,61,"RE","6/3/13","0:00","Night","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,0,0,0,302666.666666667,197133.333333333,2933.33333333333,128933.333333333,1666.66666666667,0,0,0,0,0,0,0,0,0,0,0.0565390583204635
"60",60,62,62,"RE","6/3/13","0:00","Night","Hypo",2,133.333333333333,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,302666.666666667,105533.333333333,2466.66666666667,78000,66.6666666666667,0,0,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0173625687967739
"61",61,63,63,"RS","6/13/13","12:00","Day","PML",1,66.6666666666667,1.5,0.00216239328329319,0.000949351387419273,0.00835301818181818,0.00411412191017916,0.5,7.52,20.9,138.6,5.235056842,0.01499843785233,299400,167200,4866.66666666667,139866.666666667,133.333333333333,7484.4,0.419180095273757,0.0076524160295543,0.00759658380397025,0.00763380916446029,0.00796883740887069,0.00852721781622136,0.00945785182847248,0.0113191198529747,0.0262092640489926,0.0550256211306299
"62",62,64,64,"RS","6/13/13","12:00","Day","Hypo",2,133.333333333333,1.22166666666667,0,0,NA,0.000712529333162212,4,0.12,6.5,0,5.235056842,0.01499843785233,299400,132200,3933.33333333333,113600,133.333333333333,0,0,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,NA
"63",63,65,65,"RS","6/13/13","23:30","Night","PML",81,5400,1.5,0.00216239328329319,0.000949351387419273,0.00835301818181818,0.00411412191017916,0.5,7.52,20.9,0,5.235056842,0.01499843785233,228466.666666667,107266.666666667,16000,81733.3333333333,1533.33333333333,0,0,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.0550256211306299
"64",64,66,66,"RS","6/13/13","23:30","Night","Hypo",30,2000,1.22166666666667,0,0,NA,0.000712529333162212,4,0.12,6.5,0,5.235056842,0.01499843785233,228466.666666667,121200,11333.3333333333,102866.666666667,1133.33333333333,0,0,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,NA
"65",65,67,67,"RE","6/4/13","11:30","Day","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,69.985,0,0,146733.333333333,0,0,0,0,3779.19,0.418306951953,NA,NA,NA,NA,NA,NA,NA,NA,0.0565390583204635
"66",66,68,68,"RE","6/4/13","11:30","Day","Hypo",0,0,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,146733.333333333,146733.333333333,3600,106466.666666667,800,0,0,0,0,0,0,0,0,0,0,0.0173625687967739
"67",67,69,69,"RE","6/14/13","11:30","Day","PML",0,0,1.09,0.000842051422406147,0,0.00842238532110092,0.00239014495026903,0.25,4.85,0,368.4,0,0,134200,61533.3333333333,466.666666666667,31733.3333333333,0,19893.6,0.42022441421568,0,0,8.34640489691183e-05,0.000834640489691183,0.00208660122422796,0.00417320244845591,0.00834640489691183,0.0417320244845591,0.0164464619775835
